title,url,publication_date,issuing_department,ai_score,full_text
关于国家标准《网络安全技术 物联网安全参考模型及通用要求》征求意见稿征求意见的通知,https://www.tc260.org.cn/portal/suggestion-detail/20250827154408,2025-08-27,全国信息安全标准化技术委员会,9,"各相关单位和专家：
经标准编制单位的辛勤努力，现已形成国家标准《网络安全技术 物联网安全参考模型及通用要求》征求意见稿。为确保标准质量，网安标委秘书处面向社会广泛征求意见。
恳切希望您对该标准提出宝贵意见。并将意见于2025年10月26日前反馈给网安标委秘书处。
联系人：王姣
13661025214
wangjiao@cesi.cn
全国网络安全标准化技术委员会秘书处
2025
年
08
月
27
日

--- 相关附件 ---
- 网络安全技术 物联网安全参考模型及通用要求-标准文本: https://www.tc260.org.cn/sysFile/downloadFile/zqyj_20250827154408
- 网络安全技术 物联网安全参考模型及通用要求-编制说明: https://www.tc260.org.cn/sysFile/downloadFile/bzsm_20250827154408
"
关于国家标准《数据安全技术 未成年人产品和服务个人信息保护要求》征求意见稿征求意见的通知,https://www.tc260.org.cn/portal/suggestion-detail/20250729163250,2025-07-29,全国信息安全标准化技术委员会,9,"各相关单位和专家：
经标准编制单位的辛勤努力，现已形成国家标准《数据安全技术 未成年人产品和服务个人信息保护要求》征求意见稿。为确保标准质量，网安标委秘书处面向社会广泛征求意见。
恳切希望您对该标准提出宝贵意见。并将意见于2025年09月27日前反馈给网安标委秘书处。
联系人：王姣
13661025214
wangjiao@cesi.cn
全国网络安全标准化技术委员会秘书处
2025
年
07
月
29
日

--- 相关附件 ---
- 数据安全技术 未成年人产品和服务个人信息保护要求-标准文本: https://www.tc260.org.cn/sysFile/downloadFile/zqyj_20250729163250
- 数据安全技术 未成年人产品和服务个人信息保护要求-编制说明: https://www.tc260.org.cn/sysFile/downloadFile/bzsm_20250729163250
"
关于国家标准《网络安全技术 移动互联网未成年人模式技术要求》征求意见稿征求意见的通知,https://www.tc260.org.cn/portal/suggestion-detail/20250729163316,2025-07-29,全国信息安全标准化技术委员会,5,"各相关单位和专家：
经标准编制单位的辛勤努力，现已形成国家标准《网络安全技术 移动互联网未成年人模式技术要求》征求意见稿。为确保标准质量，网安标委秘书处面向社会广泛征求意见。
恳切希望您对该标准提出宝贵意见。并将意见于2025年09月27日前反馈给网安标委秘书处。
联系人：王姣
13661025214
wangjiao@cesi.cn
全国网络安全标准化技术委员会秘书处
2025
年
07
月
29
日

--- 相关附件 ---
- 网络安全技术 移动互联网未成年人模式技术要求-标准文本: https://www.tc260.org.cn/sysFile/downloadFile/zqyj_20250729163316
- 网络安全技术 移动互联网未成年人模式技术要求-编制说明: https://www.tc260.org.cn/sysFile/downloadFile/bzsm_20250729163316
"
关于国家标准《网络安全技术  工业控制系统网络安全防护能力成熟度模型》征求意见稿征求意见的通知,https://www.tc260.org.cn/portal/suggestion-detail/20250729163355,2025-07-29,全国信息安全标准化技术委员会,9,"各相关单位和专家：
经标准编制单位的辛勤努力，现已形成国家标准《网络安全技术  工业控制系统网络安全防护能力成熟度模型》征求意见稿。为确保标准质量，网安标委秘书处面向社会广泛征求意见。
恳切希望您对该标准提出宝贵意见。并将意见于2025年09月27日前反馈给网安标委秘书处。
联系人：王姣
13661025214
wangjiao@cesi.cn
全国网络安全标准化技术委员会秘书处
2025
年
07
月
29
日

--- 相关附件 ---
- 网络安全技术  工业控制系统网络安全防护能力成熟度模型-标准文本: https://www.tc260.org.cn/sysFile/downloadFile/zqyj_20250729163355
- 网络安全技术  工业控制系统网络安全防护能力成熟度模型-编制说明: https://www.tc260.org.cn/sysFile/downloadFile/bzsm_20250729163355
"
关于国家标准《网络安全技术 嵌入式操作系统安全技术规范》征求意见稿征求意见的通知,https://www.tc260.org.cn/portal/suggestion-detail/20250729163416,2025-07-29,全国信息安全标准化技术委员会,9,"各相关单位和专家：
经标准编制单位的辛勤努力，现已形成国家标准《网络安全技术 嵌入式操作系统安全技术规范》征求意见稿。为确保标准质量，网安标委秘书处面向社会广泛征求意见。
恳切希望您对该标准提出宝贵意见。并将意见于2025年09月27日前反馈给网安标委秘书处。
联系人：王姣
13661025214
wangjiao@cesi.cn
全国网络安全标准化技术委员会秘书处
2025
年
07
月
29
日

--- 相关附件 ---
- 网络安全技术 嵌入式操作系统安全技术规范-标准文本: https://www.tc260.org.cn/sysFile/downloadFile/zqyj_20250729163416
- 网络安全技术 嵌入式操作系统安全技术规范-编制说明: https://www.tc260.org.cn/sysFile/downloadFile/bzsm_20250729163416
"
关于国家标准《网络安全技术 操作系统安全技术规范》征求意见稿征求意见的通知,https://www.tc260.org.cn/portal/suggestion-detail/20250729163442,2025-07-29,全国信息安全标准化技术委员会,9,"各相关单位和专家：
经标准编制单位的辛勤努力，现已形成国家标准《网络安全技术 操作系统安全技术规范》征求意见稿。为确保标准质量，网安标委秘书处面向社会广泛征求意见。
恳切希望您对该标准提出宝贵意见。并将意见于2025年09月27日前反馈给网安标委秘书处。
联系人：王姣
13661025214
wangjiao@cesi.cn
全国网络安全标准化技术委员会秘书处
2025
年
07
月
29
日

--- 相关附件 ---
- 网络安全技术 操作系统安全技术规范-标准文本: https://www.tc260.org.cn/sysFile/downloadFile/zqyj_20250729163442
- 网络安全技术 操作系统安全技术规范-编制说明: https://www.tc260.org.cn/sysFile/downloadFile/bzsm_20250729163442
"
关于国家标准《网络安全技术 事件调查原则和过程》征求意见稿征求意见的通知,https://www.tc260.org.cn/portal/suggestion-detail/20250715141508,2025-07-14,全国信息安全标准化技术委员会,5,"各相关单位和专家：
经标准编制单位的辛勤努力，现已形成国家标准《网络安全技术 事件调查原则和过程》征求意见稿。为确保标准质量，网安标委秘书处面向社会广泛征求意见。
恳切希望您对该标准提出宝贵意见。并将意见于2025年09月12日前反馈给网安标委秘书处。
联系人：王姣
13661025214
wangjiao@cesi.cn
全国网络安全标准化技术委员会秘书处
2025
年
07
月
14
日

--- 相关附件 ---
- 网络安全技术 事件调查原则和过程-标准文本: https://www.tc260.org.cn/sysFile/downloadFile/zqyj_20250715141508
- 网络安全技术 事件调查原则和过程-编制说明: https://www.tc260.org.cn/sysFile/downloadFile/bzsm_20250715141508
"
关于国家标准《网络安全技术 网络安全产品互联互通 第5部分：行为信息格式》征求意见稿征求意见的通知,https://www.tc260.org.cn/portal/suggestion-detail/20250715141609,2025-07-14,全国信息安全标准化技术委员会,9,"各相关单位和专家：
经标准编制单位的辛勤努力，现已形成国家标准《网络安全技术 网络安全产品互联互通 第5部分：行为信息格式》征求意见稿。为确保标准质量，网安标委秘书处面向社会广泛征求意见。
恳切希望您对该标准提出宝贵意见。并将意见于2025年09月12日前反馈给网安标委秘书处。
联系人：王姣
13661025214
wangjiao@cesi.cn
全国网络安全标准化技术委员会秘书处
2025
年
07
月
14
日

--- 相关附件 ---
- 网络安全技术 网络安全产品互联互通 第5部分：行为信息格式-标准文本: https://www.tc260.org.cn/sysFile/downloadFile/zqyj_20250715141609
- 网络安全技术 网络安全产品互联互通 第5部分：行为信息格式-编制说明: https://www.tc260.org.cn/sysFile/downloadFile/bzsm_20250715141609
"
关于国家标准《网络安全技术 电子邮件系统安全技术规范》征求意见稿征求意见的通知,https://www.tc260.org.cn/portal/suggestion-detail/20250715141709,2025-07-14,全国信息安全标准化技术委员会,9,"各相关单位和专家：
经标准编制单位的辛勤努力，现已形成国家标准《网络安全技术 电子邮件系统安全技术规范》征求意见稿。为确保标准质量，网安标委秘书处面向社会广泛征求意见。
恳切希望您对该标准提出宝贵意见。并将意见于2025年09月12日前反馈给网安标委秘书处。
联系人：王姣
13661025214
wangjiao@cesi.cn
全国网络安全标准化技术委员会秘书处
2025
年
07
月
14
日

--- 相关附件 ---
- 网络安全技术 电子邮件系统安全技术规范-标准文本: https://www.tc260.org.cn/sysFile/downloadFile/zqyj_20250715141709
- 网络安全技术 电子邮件系统安全技术规范-编制说明: https://www.tc260.org.cn/sysFile/downloadFile/bzsm_20250715141709
"
关于国家标准《网络安全技术 网络安全等级保护测评机构能力要求和评估规范》征求意见稿征求意见的通知,https://www.tc260.org.cn/portal/suggestion-detail/20250715141744,2025-07-14,全国信息安全标准化技术委员会,9,"各相关单位和专家：
经标准编制单位的辛勤努力，现已形成国家标准《网络安全技术 网络安全等级保护测评机构能力要求和评估规范》征求意见稿。为确保标准质量，网安标委秘书处面向社会广泛征求意见。
恳切希望您对该标准提出宝贵意见。并将意见于2025年09月12日前反馈给网安标委秘书处。
联系人：王姣
13661025214
wangjiao@cesi.cn
全国网络安全标准化技术委员会秘书处
2025
年
07
月
14
日

--- 相关附件 ---
- 网络安全技术 网络安全等级保护测评机构能力要求和评估规范-标准文本: https://www.tc260.org.cn/sysFile/downloadFile/zqyj_20250715141744
- 网络安全技术 网络安全等级保护测评机构能力要求和评估规范-编制说明: https://www.tc260.org.cn/sysFile/downloadFile/bzsm_20250715141744
"
关于国家标准《网络安全技术 信息系统安全保障评估框架 第2部分：安全保障要求》征求意见稿征求意见的通知,https://www.tc260.org.cn/portal/suggestion-detail/20250715141801,2025-07-14,全国信息安全标准化技术委员会,13,"各相关单位和专家：
经标准编制单位的辛勤努力，现已形成国家标准《网络安全技术 信息系统安全保障评估框架 第2部分：安全保障要求》征求意见稿。为确保标准质量，网安标委秘书处面向社会广泛征求意见。
恳切希望您对该标准提出宝贵意见。并将意见于2025年09月12日前反馈给网安标委秘书处。
联系人：王姣
13661025214
wangjiao@cesi.cn
全国网络安全标准化技术委员会秘书处
2025
年
07
月
14
日

--- 相关附件 ---
- 网络安全技术 信息系统安全保障评估框架 第2部分：安全保障要求-标准文本: https://www.tc260.org.cn/sysFile/downloadFile/zqyj_20250715141801
- 网络安全技术 信息系统安全保障评估框架 第2部分：安全保障要求-编制说明: https://www.tc260.org.cn/sysFile/downloadFile/bzsm_20250715141801
"
关于国家标准《网络安全技术 网络存储安全技术要求》征求意见稿征求意见的通知,https://www.tc260.org.cn/portal/suggestion-detail/20250715141817,2025-07-14,全国信息安全标准化技术委员会,9,"各相关单位和专家：
经标准编制单位的辛勤努力，现已形成国家标准《网络安全技术 网络存储安全技术要求》征求意见稿。为确保标准质量，网安标委秘书处面向社会广泛征求意见。
恳切希望您对该标准提出宝贵意见。并将意见于2025年09月12日前反馈给网安标委秘书处。
联系人：王姣
13661025214
wangjiao@cesi.cn
全国网络安全标准化技术委员会秘书处
2025
年
07
月
14
日

--- 相关附件 ---
- 网络安全技术 网络存储安全技术要求-标准文本: https://www.tc260.org.cn/sysFile/downloadFile/zqyj_20250715141817
- 网络安全技术 网络存储安全技术要求-编制说明: https://www.tc260.org.cn/sysFile/downloadFile/bzsm_20250715141817
"
关于国家标准《网络安全技术 网络安全产品互联互通 第6部分：功能接口》征求意见稿征求意见的通知,https://www.tc260.org.cn/portal/suggestion-detail/20250715141833,2025-07-14,全国信息安全标准化技术委员会,9,"各相关单位和专家：
经标准编制单位的辛勤努力，现已形成国家标准《网络安全技术 网络安全产品互联互通 第6部分：功能接口》征求意见稿。为确保标准质量，网安标委秘书处面向社会广泛征求意见。
恳切希望您对该标准提出宝贵意见。并将意见于2025年09月12日前反馈给网安标委秘书处。
联系人：王姣
13661025214
wangjiao@cesi.cn
全国网络安全标准化技术委员会秘书处
2025
年
07
月
14
日

--- 相关附件 ---
- 网络安全技术 网络安全产品互联互通 第6部分：功能接口-标准文本: https://www.tc260.org.cn/sysFile/downloadFile/zqyj_20250715141833
- 网络安全技术 网络安全产品互联互通 第6部分：功能接口-编制说明: https://www.tc260.org.cn/sysFile/downloadFile/bzsm_20250715141833
"
关于国家标准《网络安全技术 关键信息基础设施安全监测预警实施指南》征求意见稿征求意见的通知,https://www.tc260.org.cn/portal/suggestion-detail/20250715141531069820,2025-07-14,全国信息安全标准化技术委员会,9,"各相关单位和专家：
经标准编制单位的辛勤努力，现已形成国家标准《网络安全技术 关键信息基础设施安全监测预警实施指南》征求意见稿。为确保标准质量，网安标委秘书处面向社会广泛征求意见。
恳切希望您对该标准提出宝贵意见。并将意见于2025年09月12日前反馈给网安标委秘书处。
联系人：王姣
13661025214
wangjiao@cesi.cn
全国网络安全标准化技术委员会秘书处
2025
年
07
月
14
日

--- 相关附件 ---
- 网络安全技术 关键信息基础设施安全监测预警实施指南-标准文本: https://www.tc260.org.cn/sysFile/downloadFile/zqyj_20250715141531069820
- 网络安全技术 关键信息基础设施安全监测预警实施指南-编制说明: https://www.tc260.org.cn/sysFile/downloadFile/bzsm_20250715141531069820
"
关于国家标准《网络安全技术 关键信息基础设施安全主动防御实施指南》征求意见稿征求意见的通知,https://www.tc260.org.cn/portal/suggestion-detail/20250715141531084864,2025-07-14,全国信息安全标准化技术委员会,9,"各相关单位和专家：
经标准编制单位的辛勤努力，现已形成国家标准《网络安全技术 关键信息基础设施安全主动防御实施指南》征求意见稿。为确保标准质量，网安标委秘书处面向社会广泛征求意见。
恳切希望您对该标准提出宝贵意见。并将意见于2025年09月12日前反馈给网安标委秘书处。
联系人：王姣
13661025214
wangjiao@cesi.cn
全国网络安全标准化技术委员会秘书处
2025
年
07
月
14
日

--- 相关附件 ---
- 网络安全技术 关键信息基础设施安全主动防御实施指南-标准文本: https://www.tc260.org.cn/sysFile/downloadFile/zqyj_20250715141531084864
- 网络安全技术 关键信息基础设施安全主动防御实施指南-编制说明: https://www.tc260.org.cn/sysFile/downloadFile/bzsm_20250715141531084864
"
关于国家标准《网络安全技术 软件安全开发能力评估准则》征求意见稿征求意见的通知,https://www.tc260.org.cn/portal/suggestion-detail/20250618110906,2025-06-18,全国信息安全标准化技术委员会,9,"各相关单位和专家：
经标准编制单位的辛勤努力，现已形成国家标准《网络安全技术 软件安全开发能力评估准则》征求意见稿。为确保标准质量，网安标委秘书处面向社会广泛征求意见。
恳切希望您对该标准提出宝贵意见。并将意见于2025年08月17日前反馈给网安标委秘书处。
联系人：王姣
13661025214
wangjiao@cesi.cn
全国网络安全标准化技术委员会秘书处
2025
年
06
月
18
日

--- 相关附件 ---
- 网络安全技术 软件安全开发能力评估准则-标准文本: https://www.tc260.org.cn/sysFile/downloadFile/zqyj_20250618110906
- 网络安全技术 软件安全开发能力评估准则-编制说明: https://www.tc260.org.cn/sysFile/downloadFile/bzsm_20250618110906
"
关于国家标准《网络安全技术 引入可信第三方的实体鉴别   及接入架构规范》征求意见稿征求意见的通知,https://www.tc260.org.cn/portal/suggestion-detail/20250618111326,2025-06-18,全国信息安全标准化技术委员会,5,"各相关单位和专家：
经标准编制单位的辛勤努力，现已形成国家标准《网络安全技术 引入可信第三方的实体鉴别   及接入架构规范》征求意见稿。为确保标准质量，网安标委秘书处面向社会广泛征求意见。
恳切希望您对该标准提出宝贵意见。并将意见于2025年08月17日前反馈给网安标委秘书处。
联系人：王姣
13661025214
wangjiao@cesi.cn
全国网络安全标准化技术委员会秘书处
2025
年
06
月
18
日

--- 相关附件 ---
- 网络安全技术 引入可信第三方的实体鉴别   及接入架构规范-标准文本: https://www.tc260.org.cn/sysFile/downloadFile/zqyj_20250618111326
- 网络安全技术 引入可信第三方的实体鉴别   及接入架构规范-编制说明: https://www.tc260.org.cn/sysFile/downloadFile/bzsm_20250618111326
"
关于国家标准《网络安全技术　网络安全产品互联互通 第4部分：威胁信息格式》征求意见稿征求意见的通知,https://www.tc260.org.cn/portal/suggestion-detail/20250618112449,2025-06-18,全国信息安全标准化技术委员会,8,"各相关单位和专家：
经标准编制单位的辛勤努力，现已形成国家标准《网络安全技术　网络安全产品互联互通 第4部分：威胁信息格式》征求意见稿。为确保标准质量，网安标委秘书处面向社会广泛征求意见。
恳切希望您对该标准提出宝贵意见。并将意见于2025年08月17日前反馈给网安标委秘书处。
联系人：王姣
13661025214
wangjiao@cesi.cn
全国网络安全标准化技术委员会秘书处
2025
年
06
月
18
日

--- 相关附件 ---
- 网络安全技术　网络安全产品互联互通 第4部分：威胁信息格式-标准文本: https://www.tc260.org.cn/sysFile/downloadFile/zqyj_20250618112449
- 《网络安全产品互联互通 第4部分：威胁信息格式》编制说明.doc: https://www.tc260.org.cn/sysFile/downloadFile/1d043d05a4cd4e27b7a8bdec6139c462
"
关于国家标准《网络安全技术 存储安全指南》征求意见稿征求意见的通知,https://www.tc260.org.cn/portal/suggestion-detail/20250618163204,2025-06-18,全国信息安全标准化技术委员会,9,"各相关单位和专家：
经标准编制单位的辛勤努力，现已形成国家标准《网络安全技术 存储安全指南》征求意见稿。为确保标准质量，网安标委秘书处面向社会广泛征求意见。
恳切希望您对该标准提出宝贵意见。并将意见于2025年08月17日前反馈给网安标委秘书处。
联系人：王姣
13661025214
wangjiao@cesi.cn
全国网络安全标准化技术委员会秘书处
2025
年
06
月
18
日

--- 相关附件 ---
- 网络安全技术 存储安全指南-标准文本: https://www.tc260.org.cn/sysFile/downloadFile/zqyj_20250618163204
- 网络安全技术 存储安全指南-编制说明: https://www.tc260.org.cn/sysFile/downloadFile/bzsm_20250618163204
"
关于国家标准《网络安全技术 政务云安全配置基线要求》征求意见稿征求意见的通知,https://www.tc260.org.cn/portal/suggestion-detail/20250530155435,2025-05-30,全国信息安全标准化技术委员会,9,"各相关单位和专家：
经标准编制单位的辛勤努力，现已形成国家标准《网络安全技术 政务云安全配置基线要求》征求意见稿。为确保标准质量，网安标委秘书处面向社会广泛征求意见。
恳切希望您对该标准提出宝贵意见。并将意见于2025年07月29日前反馈给网安标委秘书处。
联系人：王姣
13661025214
wangjiao@cesi.cn
全国网络安全标准化技术委员会秘书处
2025
年
05
月
30
日

--- 相关附件 ---
- 网络安全技术 政务云安全配置基线要求-标准文本: https://www.tc260.org.cn/sysFile/downloadFile/zqyj_20250530155435
- 网络安全技术 政务云安全配置基线要求-编制说明: https://www.tc260.org.cn/sysFile/downloadFile/bzsm_20250530155435
"
关于国家标准《网络安全技术 信息安全管理体系审核指南》征求意见稿征求意见的通知,https://www.tc260.org.cn/portal/suggestion-detail/20250530155508,2025-05-30,全国信息安全标准化技术委员会,9,"各相关单位和专家：
经标准编制单位的辛勤努力，现已形成国家标准《网络安全技术 信息安全管理体系审核指南》征求意见稿。为确保标准质量，网安标委秘书处面向社会广泛征求意见。
恳切希望您对该标准提出宝贵意见。并将意见于2025年07月29日前反馈给网安标委秘书处。
联系人：王姣
13661025214
wangjiao@cesi.cn
全国网络安全标准化技术委员会秘书处
2025
年
05
月
30
日

--- 相关附件 ---
- 网络安全技术 信息安全管理体系审核指南-标准文本: https://www.tc260.org.cn/sysFile/downloadFile/zqyj_20250530155508
- 网络安全技术 信息安全管理体系审核指南-编制说明: https://www.tc260.org.cn/sysFile/downloadFile/bzsm_20250530155508
"
